,id,owner_name,owner_is_human,owner_result,is_army,is_building,is_worker,started_at,finished_at,died_at
JinairRogue190840836,190840836,JinairRogue,True,Loss,True,False,False,22463,22463,22655
JinairRogue190840837,190840837,JinairRogue,True,Loss,True,False,False,22957,22957,23997
JinairRogue190840838,190840838,JinairRogue,True,Loss,False,False,False,24000,24000,26203
JinairRogue191365121,191365121,JinairRogue,True,Loss,False,True,False,16036,16276,NA
JinairRogue191627269,191627269,JinairRogue,True,Loss,True,False,False,17582,17582,18043
JinairRogue191627279,191627279,JinairRogue,True,Loss,False,False,False,26229,26229,27129
JinairRogue191627280,191627280,JinairRogue,True,Loss,True,False,False,27131,27131,27314
JinairRogue191627281,191627281,JinairRogue,True,Loss,True,False,False,27316,27316,27751
JinairRogue191627285,191627285,JinairRogue,True,Loss,False,False,False,27782,27782,28522
JinairRogue191889413,191889413,JinairRogue,True,Loss,False,False,False,17599,17599,21755
JinairRogue191889414,191889414,JinairRogue,True,Loss,True,False,False,21757,21757,22498
JinairRogue191889421,191889421,JinairRogue,True,Loss,False,False,False,26220,26220,27130
JinairRogue192151553,192151553,JinairRogue,True,Loss,False,True,False,16085,16325,NA
JinairRogue192413697,192413697,JinairRogue,True,Loss,False,True,False,16093,16362,NA
JinairRogue192675850,192675850,JinairRogue,True,Loss,False,False,False,17661,17661,21755
JinairRogue192675851,192675851,JinairRogue,True,Loss,True,False,False,21757,21757,22588
JinairRogue192675853,192675853,JinairRogue,True,Loss,True,False,False,22964,22964,23476
JinairRogue192675854,192675854,JinairRogue,True,Loss,False,True,False,23640,24120,27987
JinairRogue192937991,192937991,JinairRogue,True,Loss,False,False,False,18632,18632,21036
JinairRogue193462274,193462274,JinairRogue,True,Loss,True,False,False,16907,16907,17533
JinairRogue193462275,193462275,JinairRogue,True,Loss,True,False,False,17538,17538,17893
JinairRogue193462286,193462286,JinairRogue,True,Loss,True,False,False,19581,19581,21070
JinairRogue193462287,193462287,JinairRogue,True,Loss,True,False,False,22307,22307,22551
JinairRogue193462288,193462288,JinairRogue,True,Loss,True,False,False,22555,22555,22696
JinairRogue193462290,193462290,JinairRogue,True,Loss,True,False,False,22784,22784,24027
JinairRogue193462299,193462299,JinairRogue,True,Loss,False,False,False,26300,26300,27131
JinairRogue193724424,193724424,JinairRogue,True,Loss,False,False,False,18051,18051,21757
JinairRogue193724425,193724425,JinairRogue,True,Loss,True,False,False,21828,21828,22386
JinairRogue193724427,193724427,JinairRogue,True,Loss,True,False,False,22411,22411,22673
JinairRogue193724430,193724430,JinairRogue,True,Loss,False,False,False,22816,22816,26374
JinairRogue193724431,193724431,JinairRogue,True,Loss,True,False,False,26376,26376,27248
JinairRogue193724438,193724438,JinairRogue,True,Loss,True,False,False,27328,27328,27767
JinairRogue193986562,193986562,JinairRogue,True,Loss,True,False,False,19252,19252,21069
JinairRogue193986563,193986563,JinairRogue,True,Loss,True,False,False,22341,22341,23678
